Absolute Magnitude,Close Approach Date,Relative Velocity km per hr,Miss Dist.(kilometers),Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Epoch Osculation,Eccentricity,Perihelion Distance,Aphelion Dist,Perihelion Time,Mean Anomaly,Hazardous,Est Dia in M(avg)
24.1,22,34235.5669813472,5849801.5,1651,6,0.00335624,2458000.5,0.4073193079080165,0.4920016594066053,1.168257113896734,2458037.142516542,312.2502959502082,0,65.09424840015001
22.0,22,57819.838606619,73313632.0,1428,1,0.013789,2458000.5,0.5146651431643737,0.4397834901936297,1.372505423324799,2458106.754743089,238.5895014705892,1,171.21531802344998
27.8,22,73744.0353176641,66852456.0,261,6,0.00229906,2458000.5,0.2969169445501015,0.9057226527824724,1.670708810788801,2458044.555019829,330.3027265993828,0,11.845205970450001
25.8,22,70325.7416701877,54720140.0,696,6,0.0041285,2458000.5,0.3142290572731071,0.8758297880552768,1.678462712506604,2457812.927917964,128.0888492709682,0,29.75381215555
20.5,23,47525.9773541872,66886804.0,2470,1,0.154706,2458000.5,0.5405178023526714,0.4449522594294055,1.491802904133752,2458091.3747801604,266.010279771211,0,341.6194717976
21.0,23,87723.1973247196,64415952.0,1365,2,0.164167,2458000.5,0.5920637249101245,0.416930587414573,1.627166066273388,2457920.9598810687,75.87228480396955,0,271.35799198045004
20.5,23,51292.5954735017,29983460.0,1353,2,0.0640277,2458000.5,0.247892802415425,0.6537617004727814,1.084718406013011,2457852.556714144,179.9242659581224,0,341.6194717976
26.5,23,55789.2136648847,43464572.0,850,7,0.0200872,2458000.5,0.1944668036041747,0.7997670427329493,1.185916592184456,2457830.558526909,169.3102929035901,0,21.5547314748
19.2,23,71586.5746661539,33564184.0,424,2,0.180276,2458000.5,0.6364788257474345,0.6717343050318725,3.023975065477413,2458249.8520218674,262.1602701720379,0,621.64524614805
18.3,24,13073.8727848083,36989136.0,2160,0,0.120423,2458000.5,0.275645195703379,1.058716794207486,1.864482687393371,2457753.756279395,137.6282212657402,0,940.89815484425
18.8,24,38412.7441120026,70651280.0,2055,0,0.236062,2458000.5,0.1843426617058004,1.120448294693052,1.626902196963819,2458050.9910371923,329.0904802207054,0,747.38197039275
24.7,24,70733.781760617,70551696.0,777,3,0.0285671,2458000.5,0.2030510455908618,0.8309051117035368,1.254310276575814,2458180.9358982197,192.950326389245,0,49.37903709974999
24.4,24,56981.9492382622,49979660.0,145,6,0.00908397,2458000.5,0.3623412818111571,0.5130035603257895,1.096018776208354,2458032.7400764013,315.9645924472466,0,56.6947202721
21.2,25,46247.8384959228,62941832.0,1708,1,0.138005,2458000.5,0.1727505558584062,1.00988908243766,1.431669723287702,2458195.525236124,217.4920487687966,0,247.481430032
19.3,25,75552.9157793455,71921168.0,29,1,0.0261387,2457600.5,0.2453492870265468,0.943275323854436,1.556623788776809,2457720.0113229025,275.7103214581483,1,593.6666012068
18.2,25,49106.9377187212,26301152.0,621,4,0.183099,2458000.5,0.5866239297757432,1.181324189486969,4.534169640845781,2458761.9881617795,204.6427292680379,0,985.2413187458001
25.0,25,5199.8852281028,16750804.0,587,4,0.0448509,2458000.5,0.1084151637830949,1.041219117101804,1.294439980735288,2457870.113749996,101.827874625062,0,43.00734342095
19.3,25,75552.6527462239,71920712.0,2632,0,0.0287566,2458000.5,0.2453827326983622,0.943171186520922,1.556562724666972,2458230.387511672,197.8474532414083,1,593.6666012068
23.0,25,43918.0000713562,51441896.0,113,6,0.0896811,2458000.5,0.311335293033921,1.000383336812745,1.904900836148423,2457684.267927581,178.021335305533,0,108.0295623944
19.9,25,78564.9448113509,65705832.0,2377,2,0.0703769,2458000.5,0.6904175453451732,0.5603542317242395,3.059710299058127,2457982.891146359,7.126982341285601,0,450.3421707193
19.5,26,55870.8824768148,63934848.0,2008,0,0.229332,2458000.5,0.5542303362728849,0.5002637810676391,1.744230727082128,2458125.6742098816,256.2265857999162,0,541.4303752642
24.8,26,20779.9089062441,60424960.0,679,5,0.0378689,2458000.5,0.1889226522509931,1.048481368795945,1.536922777197796,2457869.1444189246,88.08560386672828,0,47.156614335149996
26.692,26,21548.4974929048,30038752.0,2378,3,0.00138825,2458000.5,0.2640538859757104,0.7411996443722877,1.273077298593743,2457910.968954696,87.30597168123131,0,19.73070561345
21.2,27,118849.4444470831,64146424.0,1691,0,0.0443814,2458000.5,0.7429197714072429,0.651719822234608,4.418446995354484,2457387.129860144,149.7746537414765,1,247.481430032
20.8,27,44038.9140002654,37765468.0,612,5,0.214825,2458000.5,0.3980255376329458,1.070194766746383,2.485420408482866,2457833.431866576,69.46572316256477,0,297.5381215558
25.187,27,72217.2695251892,48875488.0,2677,6,0.0240122,2458000.5,0.3260357937467516,0.5749328863057288,1.131190023401711,2458114.1579088126,217.8217198282911,0,39.4586858173
19.6,28,87971.1610448466,65340896.0,2637,0,0.22486,2458000.5,0.4224555943413243,0.5026258701335222,1.237935947135886,2457928.629332035,87.25022796535129,0,517.0619942241
25.4,28,29441.0179258586,18553526.0,1345,6,0.00361704,2458000.5,0.3968356454760085,0.5747495117054323,1.331031250684004,2457879.2179252906,128.5098086481505,0,35.77195014895
20.4,28,50396.7091564228,40918004.0,1022,1,0.0511177,2458000.5,0.5147876322815463,0.4337107527547043,1.354004407079666,2457927.5197769008,85.1151305460568,0,357.71950148935
19.1,28,55719.4158773802,31246566.0,957,1,0.00672532,2458000.5,0.7119507498168253,0.6268643392167003,3.725615931556913,2458259.9571243944,280.3456586195321,1,650.9424840017
22.8,28,37273.9723469384,15399087.0,681,6,0.0224851,2458000.5,0.2706344259804053,0.8645916055478944,1.506212930188712,2458069.7798607987,307.093083653724,0,118.45205970434999
24.5,28,25326.2853496968,17480564.0,383,6,0.025176,2458000.5,0.2499222400619662,0.6642281158110832,1.106863233080416,2458096.5405957145,246.4093799891688,0,54.14303752645
